

country,year_1961_production,year_1971_production,year_1981_production,year_1991_production,year_2001_production,year_2011_production,year_2021_production
Haiti,45720.0,32400.0,33250.0,37000.0,28000.0,39232.32,20700.0
Honduras,21450.0,40927.0,75347.0,101890.0,205545.0,284347.0,400674.4
India,43200.0,110231.0,118600.0,170000.0,301000.0,302000.0,334000.0
Indonesia,103100.0,180916.0,314899.0,428305.0,569234.0,638600.0,765415.0
Jamaica,2546.0,1358.0,1379.0,2280.0,2880.0,8099.0,7990.0
Kenya,28100.0,59500.0,99717.0,86400.0,51700.0,36300.0,34500.0
Laos,1000.0,2800.0,5031.0,8017.0,25796.0,52010.0,161200.0
Liberia,3400.0,5521.0,8400.0,1300.0,3200.0,649.83,630.68
Madagascar,54000.0,57710.0,83460.0,83865.0,64530.0,55698.04,44394.54
Malawi,167.0,153.0,1000.0,7500.0,4320.0,4015.0,10000.0
Malaysia,2700.0,3960.0,10400.0,7600.0,38500.0,15064.0,4150.55
Martinique,2400.0,600.0,0.0,75.0,40.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melanesia,5010.0,28100.0,50515.0,47685.0,63807.15,84945.47,42532.01
Mexico,126616.0,187495.0,262904.0,334330.0,302996.0,237056.0,174341.0
Mozambique,1000.0,1000.0,1000.0,900.0,782.41,800.0,816.01
Myanmar,200.0,917.0,1044.0,1300.0,2300.0,7600.0,8928.27
Nepal,0.0,0.0,0.0,0.0,89.0,402.0,315.0
New Caledonia,2250.0,1000.0,597.0,69.0,56.0,19.0,1.72
Nicaragua,23200.0,42013.0,61087.0,47421.0,66799.0,103881.73,167831.0
Nigeria,1100.0,3600.0,3000.0,3200.0,3850.0,2524.57,1815.14
Panama,5000.0,5307.0,7062.0,12174.0,15074.0,9826.0,6900.0
Papua New Guinea,2520.0,26967.0,49837.0,47220.0,63720.0,84870.0,42480.0
Paraguay,6000.0,5810.0,12856.0,4519.0,2751.0,370.0,388.0
Peru,42643.0,70587.0,79360.0,82635.0,196232.0,331547.0,365582.12
Philippines,32300.0,49500.0,146700.0,125017.0,112271.0,88526.0,60607.18
Polynesia,231.0,270.0,143.0,43.81,46.27,46.35,48.19
Puerto Rico,15876.0,10886.0,13608.0,12701.0,8650.0,6036.67,4065.88
Rwanda,10500.0,15245.0,29200.0,35000.0,18366.0,21820.4,19466.88
Saint Lucia,25.0,24.0,12.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,50.0,90.0,120.0,152.05,155.0,188.91,183.08
Samoa,115.0,150.0,20.0,17.0,8.0,10.0,11.32
Sao Tome and Principe,258.0,70.0,60.0,11.0,22.0,5.6,7.59
Saudi Arabia,200.0,120.0,300.0,0.0,0.0,0.0,0.0
Sierra Leone,5103.0,9527.0,9288.0,26000.0,16267.37,30449.28,2400.0
Spain,5.0,6.0,4.0,7.0,0.0,0.0,0.0
Sri Lanka,4002.0,8358.0,12500.0,7861.0,10210.0,5320.0,5306.2
Suriname,342.0,200.0,53.0,55.0,4.0,5.61,6.02
Taiwan,112.0,34.0,52.0,0.0,0.0,0.0,906.0
Tanzania,33000.0,49700.0,66441.0,46210.0,58100.0,60575.0,73027.0
Thailand,60.0,1140.0,12060.0,47328.0,86009.0,42394.0,30000.0
Togo,10300.0,6459.0,8878.0,24900.0,16900.0,12500.0,16817.87
Tonga,0.0,0.0,0.0,11.81,14.1,16.02,15.32
Trinidad and Tobago,2885.0,3894.0,2433.0,914.0,406.0,72.72,591.4
Uganda,94100.0,175500.0,97500.0,147366.0,197410.0,191371.0,374760.0
United States,3100.0,1063.0,802.0,1016.0,3630.0,3447.0,2270.0
Vanuatu,240.0,120.0,61.0,42.0,15.0,40.0,36.25
Venezuela,57050.0,58385.0,59566.0,68404.0,91877.0,72109.0,54134.86
Vietnam,4100.0,6500.0,5300.0,100000.0,840600.0,1276506.0,1845033.0
World,4527876.0,4663275.0,6083218.0,6063339.0,7379889.5,8387100.0,9917258.0
Yemen,6300.0,4823.0,4405.0,5430.0,11906.0,19275.0,21077.32
Zambia,0.0,10.0,40.0,1740.0,5760.0,6137.03,6636.6
Zimbabwe,0.0,745.0,5476.0,12091.0,7518.0,540.0,652.88
